uai;libelle_court;libelle_long;statut_juridique_court;adresse;complement_adresse;code_postal;localite;geolocalisation;site_internet;compte_twitter;compte_facebook;compte_linkedin;compte_googleplus;compte_youtube;compte_dailymotion;identifiant_freebase;identifiant_wikidata;statut_operateur_lolf;libelle_mission_chef_de_file;identifiant_programme_lolf_chef_de_file;libelle_programme_lolf_chef_de_file;identifiants_autres_programmes_lolf;libelles_autres_programmes_lolf;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;numero_siren_siret_uai
0133973Y;IRD;institut de recherche pour le développement;Établissements publics à caractère scientifique et technologique;44, BOULEVARD DE DUNKERQUE;CS 90009;13572;MARSEILLE CEDEX 02;43.3096127, 5.368809;http://www.ird.fr/;https://twitter.com/ird_fr;;;;;;http://www.freebase.com/m/02vw8c1;http://www.wikidata.org/entity/Q2910510;Opérateurs MIRES 2014;Recherche et enseignement supérieur;187;Recherche dans le domaine de la gestion des milieux et des ressources;;;13202;Marseille 2e;UU00759;Marseille - Aix-en-Provence;D013;Bouches-du-Rhône;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur;18000602500159
0755503Z;LNE;Laboratoire national de métrologie et d'essais;Établissement public à caractère industriel et commercial;1 RUE GASTON BOISSIER;;75724;PARIS CEDEX 15;48.8290564, 2.2953888;http://www.lne.fr/;;;;;;;http://www.freebase.com/m/0kfwvgm;http://www.wikidata.org/entity/Q3214502;Opérateurs LOLF Hors MIRES 2014;Économie;134;Développement des entreprises et du tourisme;;;75115;Paris 15e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;31332024400012
0755449R;EPMQB;Etablissement public du musée du quai Branly;Établissement public à caractère administratif;37 QUAI BRANLY;;75007;PARIS;48.861899, 2.297441;http://www.quaibranly.fr/;https://twitter.com/quaibranly;;;;;;http://www.freebase.com/m/0dmnx6;http://www.wikidata.org/entity/Q167863;Opérateurs LOLF Hors MIRES 2014;Culture;175;Patrimoines;150;;75107;Paris 7e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;18009214000011
;IFé;Institut français de l'éducation;Composante d'établissement d'enseignement supérieur;19 ALLÉE DE FONTENAY;;69007;LYON;45.7320527, 4.8319557;http://ife.ens-lyon.fr/ife;;;;;;;http://www.freebase.com/m/0cc8j3h;http://www.wikidata.org/entity/Q3152279;Non_Opérateur_LOLF;;;;;;69387;Lyon 7e;UU00758;Lyon;D069;Rhône;A10;Lyon;R82;Rhône-Alpes;
0752743Z;CNES;Centre national d'études spatiales;Établissement public à caractère industriel et commercial;2 PLACE MAURICE QUENTIN;;75039;PARIS CEDEX 01;48.8613539, 2.3453059;http://www.cnes.fr/;https://twitter.com/CNES_France;;https://www.linkedin.com/company/cnes;;;;http://www.freebase.com/m/024fy1;http://www.wikidata.org/entity/Q48756;Opérateurs MIRES 2014;Recherche et enseignement supérieur;193;Recherche spatiale;191;;75101;Paris 1er;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;77566591200082
;Météo-France;Météo-France;Établissement public à caractère administratif;73 AVENUE DE PARIS;;94160;SAINT-MANDE;48.8455896, 2.4252281;http://www.meteofrance.com/;https://twitter.com/meteofrance;;;;;;http://www.freebase.com/m/0ckgrh;http://www.wikidata.org/entity/Q1810406;Opérateurs LOLF Hors MIRES 2014;Écologie, développement et aménagement durables;170;Météorologie;181;;94067;Saint-Mandé;UU00851;Paris;D094;Val-de-Marne;A24;Créteil;R11;Île-de-France;
0755604J;Universcience;Universcience;Établissement public à caractère industriel et commercial;PALAIS DE LA DÉCOUVERTE;AVENUE FRANKLIN DELANO ROOSEVELT;75008;PARIS;48.866208, 2.3108849;http://www.universcience.fr/;https://twitter.com/universcience;;;;;;;http://www.wikidata.org/entity/Q3551303;Opérateurs MIRES 2014;Recherche et enseignement supérieur;186;Recherche culturelle et culture scientifique;.;;75108;Paris 8e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;51958785100014
0922641W;ONERA;Office national d'études et de recherches aéronautiques;Établissement public à caractère industriel et commercial;29 AVENUE DE LA DIVISION LECLERC;;92322;CHATILLON CEDEX;48.7974787, 2.2828106;http://www.onera.fr/;https://twitter.com/onera_fr;;https://www.linkedin.com/company/onera;;;;http://www.freebase.com/m/025v5g;http://www.wikidata.org/entity/Q2007769;Opérateurs LOLF Hors MIRES 2014;Défense;144;Environnement et prospective de la politique de défense;;;92020;Châtillon;UU00851;Paris;D092;Hauts-de-Seine;A25;Versailles;R11;Île-de-France;77572287900100
;Pasteur Lille;Institut Pasteur de Lille;Fondation reconnue d'utilité publique;1 RUE DU PROFESSEUR CALMETTE;BP 245;59019;LILLE CEDEX;50.6280433, 3.0740799;http://www.pasteur-lille.fr/;;;;;;;http://www.freebase.com/m/04y8mh7;http://www.wikidata.org/entity/Q3151788;Non_Opérateur_LOLF;;;;;;59350;Lille;UU59702;Lille;D059;Nord;A09;Lille;R31;Nord-Pas-de-Calais;
;BnF;Bibliothèque nationale de France;Établissement public à caractère administratif;QUAI FRANCOIS MAURIAC;;75013;PARIS;48.833595, 2.375766;http://www.bnf.fr/;https://twitter.com/ActuBnF;;;;;;http://www.freebase.com/m/01cb6r;http://www.wikidata.org/entity/Q193563;Opérateurs LOLF Hors MIRES 2014;Médias, livre et industries culturelles;334;Livre et industries culturelles;;;75113;Paris 13e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;
;IGN;Institut national de l'information géographique et forestière;Établissement public à caractère administratif;73 AVENUE DE PARIS;;94160;SAINT-MANDE;48.8455896, 2.4252281;http://www.ign.fr/;https://twitter.com/ignfrance;;;;;;http://www.freebase.com/m/0bqm6r;http://www.wikidata.org/entity/Q1665102;Opérateurs LOLF Hors MIRES 2014;Écologie, développement et aménagement durables;159;Information géographique et cartographique;;;94067;Saint-Mandé;UU00851;Paris;D094;Val-de-Marne;A24;Créteil;R11;Île-de-France;
0753172R;Curie;Institut Curie;Fondation reconnue d'utilité publique;26 RUE D'ULM;;75005;PARIS;48.8433839, 2.344651;http://curie.fr/;https://twitter.com/institut_curie;;;;;;http://www.freebase.com/m/01vxvg;http://www.wikidata.org/entity/Q2451973;Non_Opérateur_LOLF;;;;;;75105;Paris 5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;
;CAMPUS FRANCE;Agence de promotion des formations et des échanges éducatifs et scientifiques;Établissement public à caractère industriel et commercial;28, RUE DE LA GRANGE AUX BELLES;;75010;PARIS;48.8766298, 2.3693066;http://www.campusfrance.org/fr/;https://twitter.com/CampusFrance;;;;;;;http://www.wikidata.org/entity/Q2935609;Opérateurs LOLF Hors MIRES 2014;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;150;;75110;Paris 10e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;
0755611S;ANR;Agence nationale de la recherche;Établissement public à caractère administratif;212 RUE DE BERCY;;75012;PARIS;48.8457727, 2.3709785;http://www.agence-nationale-recherche.fr/;https://twitter.com/AgenceRecherche;;https://www.linkedin.com/company/anr;;;;http://www.freebase.com/m/0b780_h;http://www.wikidata.org/entity/Q392500;Opérateurs MIRES 2014;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;;;75112;Paris 12e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;
0912305L;Génopole;Génopole;Groupement d'intérêt public;5, RUE HENRI DESBRUÈRES;;91030;EVRY CEDEX;48.6184256, 2.4511523;http://www.genopole.fr/;https://twitter.com/Genopole;;https://www.linkedin.com/company/genopole;;;;;http://www.wikidata.org/entity/Q3123008;Opérateurs MIRES 2014;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;.;;91228;Évry;UU00851;Paris;D091;Essonne;A25;Versailles;R11;Île-de-France;
